Personalized Product Sales and Workshop Booking System,,,,,,,,,,
TBD — populate only with approved Mland evidence.,,,,,,,,,,
,,,,,,,,,,
Issue ID,Description,Type,Raised by,Owner (must answer),Status,Priority,Deadline,Affected Area,Resolution / Decision,Resolved Date
OI-001,Configure exact capacity by location/session after the approved schedule and reschedule/no-show rules,Functional,SEP490_G22,TBD,Partially resolved,High,,Booking,Group decision 2026-09-18 sets three sessions capacity configuration per location 24-hour rescheduling and audited no-show exception; values remain TBD,
OI-002,Supply and approve ring-component taxonomy catalogue prices and hard feasibility constraints,Data / Functional,SEP490_G22,TBD,Partially resolved,High,,Ring configuration,Group decision 2026-09-18 limits configurator to Owner-confirmed components; operational data remains TBD,
OI-003,Define numeric feasibility scores thresholds quality-confidence policy and labelled evaluation evidence,Research / Business Rule,SEP490_G22,TBD,Partially resolved,High,,Feasibility prototype,Group decision 2026-09-18 sets governance and routing; evaluation evidence and numeric values remain TBD with no accuracy claim,
OI-004,Approve consent wording provider retention review-operation coverage and notification content for the six-operating-hour review path,Functional / NFR,SEP490_G22,TBD,Partially resolved,High,,Guest review path,Group decision 2026-09-18 sets consent lifecycle SLA and Guest request-code/email lookup; remaining operational details TBD,
OI-005,Define manual-refund authority force-majeure cases consent wording and final cash/bank settlement after the 50 percent deposit,Business Rule,SEP490_G22,TBD,Partially resolved,High,,Workshop invoice,Group decision 2026-09-18 sets no automatic refund and 24-hour capacity-based rescheduling; remaining policy TBD,
OI-006,Design check-in participation evidence and implement Owner-approved waiver/change audit for the 100000 VND extra-attendee fee,Business Rule,SEP490_G22,TBD,Partially resolved,High,,Check-in,Group decision 2026-09-18 limits fee to actual product participants and requires Staff attestation plus customer consent,
OI-007,Define detailed custody statuses retention and release implementation for Staff-created continuation booking,Functional / Operations,SEP490_G22,TBD,Partially resolved,High,,Workshop continuation,Group decision 2026-09-18 sets evidence and booking-code/QR release check; detailed state model remains TBD,
OI-008,Supply exact capacity and approve product capability data for each location/session,Functional / Scope,SEP490_G22,TBD,Partially resolved,High,,Booking location,Group decision 2026-09-18 approves location selection and capacity configuration per location/session; values and capability data remain TBD,
OI-009,Verify Business Profile OAuth/API access and approve import privacy retention attribution approval and appeal policy,Business / Integration / Privacy,SEP490_G22,TBD,Partially resolved,High,,Owner review dashboard,Group decision 2026-09-18 sets link/QR customer review and manual one-way import; no payroll/bonus automation,
OI-010,Select a Payment Gateway provider and define webhook/IPN verification reconciliation retry duplicate-event handling and refund,Integration / Security,SEP490_G22,TBD,Open,High,,Booking and retail payment,Under group dispute as of 2026-09-18; redirect alone cannot confirm payment,
OI-011,Define ready-ring catalogue pickup readiness and manual-exception process after no-expiry reservation,Functional / Data,SEP490_G22,TBD,Partially resolved,High,,Member retail,Group decision 2026-09-18 holds a verified-payment reservation until pickup or handoff with no automatic expiry,
OI-012,Define recipient/delivery-data retention and failed-handoff process after required third-party handoff evidence,Privacy / Operations,SEP490_G22,TBD,Partially resolved,High,,Member retail delivery,Group decision 2026-09-18 requires carrier handoff reference Staff actor and timestamp; retention remains TBD,
OI-013,Define Admin Technical access monitoring audit and emergency escalation without business-record mutation,Authorization / Operations,SEP490_G22,TBD,Open,High,,Technical administration,TBD; no invoice payment order or business-data mutation,
OI-014,Define Member authentication account recovery and visibility rules for participation transaction and upcoming-workshop history,Authorization / NFR,SEP490_G22,TBD,Open,High,,Member experience,TBD; Guest has no Member-only history or retail checkout,
